№,ID,Ta'lim turi,Yo'nalish ko'di ,Yonalish mutaxassislik nomi
1,1,Б,5110100,Matematika va informatika
2,2,Б,5110200,Fizika va astronomiya
3,3,Б,5110300,Kimyo
4,4,Б,5110400,Biologiya
5,5,Б,5110500,Geografiya va iqtisodiy bilim asoslari
6,6,Б,5110600,Tarix
7,7,Б,5110800,Tasviriy sanʼat va muhandislik grafikasi
8,8,Б,5110900,Pedagogika va psixologiya
9,9,Б,5111001,Professional taʼlim: amaliy sanʼat (amaliy sanʼat asarlarini taʼmirlash)
10,10,Б,5111002,Professional taʼlim: vokal sanʼati (turlari boʼyicha)
11,11,Б,5111004,Professional taʼlim: dizayn (libos va gazlamalar)
12,12,Б,5111005,Professional taʼlim: qishloq xoʼjaligini mexanizatsiyalashtirish
13,13,Б,5111006,Professional taʼlim: rangtasvir (dastgohli)
14,14,Б,5111007,Professional taʼlim: suv xoʼjaligi va melioratsiya
15,15,Б,5111008,Professional taʼlim: tibbiy-pedagogik ish
16,16,Б,5111009,Professional taʼlim: transport vositalari muhandisligi (avtotransport)
17,17,Б,5111010,Professional taʼlim: farmatsiya
18,18,Б,5111011,Professional taʼlim: xalq ijodiyoti (vokal ijrochiligi)
19,19,Б,5111013,Professional taʼlim: xoreografiya
20,20,Б,5111014,Professional taʼlim: cholgʼu ijrochiligi (turlari boʼyicha)
21,21,Б,5111100,Musiqa taʼlimi
22,22,Б,5111200,Oʼzbek tili va adabiyoti
23,23,Б,5111300,Ona tili va adabiyoti: turkman tili va adabiyoti
24,24,Б,5111301,Ona tili va adabiyoti: rus tili va adabiyoti
25,25,Б,5111302,Ona tili va adabiyoti: qoraqalpoq tili va adabiyoti
26,26,Б,5111303,Ona tili va adabiyoti: koreys tili va adabiyoti
27,27,Б,5111304,Ona tili va adabiyoti: qirgʼiz tili va adabiyoti
28,28,Б,5111305,Ona tili va adabiyoti: qozoq tili va adabiyoti
29,29,Б,5111308,Ona tili va adabiyoti: tojik tili va adabiyoti
30,30,Б,5111400,Xorijiy til va adabiyoti: ingliz tili
31,31,Б,5111401,Xorijiy til va adabiyoti: nemis tili
32,32,Б,5111402,Xorijiy til va adabiyoti: frantsuz tili
33,33,Б,5111500,Chaqiriqqacha harbiy taʼlim
34,34,Б,5111600,"Milliy gʼoya, maʼnaviyat asoslari va huquq taʼlimi"
35,35,Б,5111700,Boshlangʼich taʼlim
36,36,Б,5111800,Maktabgacha taʼlim
37,37,Б,5111901,Defektologiya: logopediya
38,38,Б,5111902,Defektologiya: surdopedagogika
39,39,Б,5111903,Defektologiya: oligofrenopedagogika
40,40,Б,5112000,Jismoniy madaniyat
41,41,Б,5112100,Texnologik taʼlim
42,42,Б,5112200,Maktabgacha va boshlangʼich taʼlimda xorijiy til (ingliz tili)
43,43,Б,5112400,Oʼzga tilli guruhlarda oʼzbek tili
44,44,Б,5112500,Oʼzga tilli guruhlarda rus tili
45,45,Б,5112700,Maktabgacha taʼlim psixologiyasi va pedagogikasi
46,46,Б,5120101,Filologiya va tillarni oʼqitish: oʼzbek tili
47,47,Б,5120102,Filologiya va tillarni oʼqitish: rus tili
48,48,Б,5120103,Filologiya va tillarni oʼqitish: qoraqalpoq tili
49,49,Б,5120104,Filologiya va tillarni oʼqitish: koreys tili
50,50,Б,5120105,Filologiya va tillarni oʼqitish: yapon tili
51,51,Б,5120106,Filologiya va tillarni oʼqitish: arab tili
52,52,Б,5120107,Filologiya va tillarni oʼqitish: italьyan tili
53,53,Б,5120108,Filologiya va tillarni oʼqitish: xitoy tili
54,54,Б,5120112,Filologiya va tillarni oʼqitish: ingliz tili
55,55,Б,5120113,Filologiya va tillarni oʼqitish: nemis tili
56,56,Б,5120114,Filologiya va tillarni oʼqitish: frantsuz tili
57,57,Б,5120115,Filologiya va tillarni oʼqitish: ispan tili
58,58,Б,5120116,Filologiya va tillarni oʼqitish: qozoq tili
59,59,Б,5120117,Filologiya va tillarni oʼqitish: tojik tili
60,60,Б,5120118,Filologiya va tillarni oʼqitish: turkman tili
61,61,Б,5120131,Filologiya va tillarni oʼqitish: arab tili
62,62,Б,5120132,Filologiya va tillarni oʼqitish: fors tili
63,63,Б,5120133,Filologiya va tillarni oʼqitish: dariy tili
64,64,Б,5120134,Filologiya va tillarni oʼqitish: turk tili
65,65,Б,5120135,Filologiya va tillarni oʼqitish: urdu tili
66,66,Б,5120136,Filologiya va tillarni oʼqitish: indonez tili
67,67,Б,5120137,Filologiya va tillarni oʼqitish: vьetnam tili
68,68,Б,5120140,Filologiya va tillarni oʼqitish: sharq mumtoz tillari
69,69,Б,5120201,Tarjima nazariyasi va amaliyoti: ingliz tili
70,70,Б,5120202,Tarjima nazariyasi va amaliyoti: nemis tili
71,71,Б,5120203,Tarjima nazariyasi va amaliyoti: frantsuz tili
72,72,Б,5120206,Tarjima nazariyasi va amaliyoti: italьyan tili
73,73,Б,5120208,Tarjima nazariyasi va amaliyoti: arab tili
74,74,Б,5120209,Tarjima nazariyasi va amaliyoti: rus tili
75,75,Б,5120211,Tarjima nazariyasi va amaliyoti: dariy tili
76,76,Б,5120300,Tarix (mamlakatlar va yoʼnalishlar boʼyicha)
77,77,Б,5120301,Tarix (islom tarixi va manbashunosligi)
78,78,Б,5120302,Tarix: Eron tarixi
79,79,Б,5120303,Tarix: Hindiston tarixi
80,80,Б,5120304,Tarix: Koreya tarixi
81,81,Б,5120305,Tarix: Markaziy Osiyo xalqlari tarixi
82,82,Б,5120400,Аrxeologiya
83,83,Б,5120500,Falsafa (yoʼnalishlar boʼyicha)
84,84,Б,5120501,Falsafa (sharq falsafasi va madaniyati)
85,85,Б,5120600,Dinshunoslik
86,86,Б,5120701,Matnshunoslik va adabiy manbashunoslik: arab tili
87,87,Б,5120702,Matnshunoslik va adabiy manbashunoslik: fors tili
88,88,Б,5121100,Xalqaro munosabatlar
89,89,Б,5121200,Madaniyatlararo kommunikatsiyalarning lingvistik taʼminoti (ingliz tili)
90,90,Б,5121400,Аntropologiya va etnologiya
91,91,Б,5130100,Matematika
92,92,Б,5130200,Аmaliy matematika
93,93,Б,5130300,Matematik injiniring (ishlab chiqarish sohalari boʼyicha)
94,94,Б,5140100,Biologiya (turlari boʼyicha)
95,95,Б,5140200,Fizika
96,96,Б,5140300,Mexanika va matematik modellashtirish
97,97,Б,5140400,Аstronomiya
98,98,Б,5140500,Kimyo (turlari boʼyicha)
99,99,Б,5140600,Geografiya
100,100,Б,5140700,Gidrometeorologiya
101,101,Б,5140800,Geologiya (faoliyat sohasi boʼyicha)
102,102,Б,5141000,Tuproqshunoslik
