№,Регион,2000 год,2001 год,2002 год,2003 год,2004 год,2005 год,2006 год,2007 год,2008 год,2009 год,2010 год,2011 год,2012 год,2013 год,2014 год,2015 год,2016 год,2017 год,2018 год,2019 год,2020 год,2021Г
1,всего,-,27.5,26.5,27.2,26.1,25.8,24.9,23.6,21.8,19.5,17.7,16.0,15.0,14.1,13.3,12.8,12.3,11.9,11.4,10.98137617,11.49056881,16.96
2,б) город,-,22.5,21.8,22.6,18.81914836,18.28210757,17.92970086,17.56956966,16.28886874,15.2,13.37170515,11.6,11.6,10.6,9.8,9.515556307,9.2,8.699695637,8.4,8.4,8.921042457,13.9
3,в) деревня,-,30.5,29.4,29.8,30.25622277,29.95135299,28.83989007,27.08672906,24.94303509,22.0,20.1,18.5,18.3,17.3,16.6,15.88183115,15.1,14.79824088,14.3,13.5,14.03507618,19.8
4,Республика Каракалпакстан,-,-,-,-,44.70588235,44.03213466,43.0594009,41.64933067,39.19239905,37.01490272,34.33749669,33.22231474,32.47232472,31.32867133,28.8,28.34498834,27.6,26.25464684,25.9,14.80789293,14.61907097,20.8
5,Андижан,-,-,-,-,23.51956476,23.091133,22.21561348,21.10976379,20.10278711,16.99370314,16.3,13.25801245,11.54188948,10.79069767,9.9,9.321631879,8.740359897,8.024691358,7.9,11.86145928,11.99835913,19.3
6,Бухара,-,-,-,-,20.992,20.79238329,19.83707145,18.58824345,17.74512574,16.05537461,14.44401343,13.42364532,12.21703198,11.28349788,10.7,10.12345679,9.3,9.209597742,8.9,8.255341374,8.629158624,14.5
7,Джизак,-,-,-,-,29.70795569,29.57524908,28.81398132,27.92784445,25.6142185,23.1077837,22.6,21.29577465,18.69000565,17.04879483,15.8,15.40270429,14.75602587,14.31085044,14.0,12.71997991,12.97420209,21.1
8,Кашкадарья,-,-,-,-,41.51234568,40.97908527,39.84373388,38.01488965,34.85418627,32.45178443,28.93643597,26.77241048,24.90330898,24.18624704,23.5,23.23776676,22.56742179,22.35167206,20.9,11.98936386,13.64194441,17.9
9,Навои,-,-,-,-,26.4075067,26.2980445,25.36519957,24.08430437,23.11939268,20.11801971,19.6,18.22817081,16.64663462,15.5597723,14.4,13.91524352,13.17289424,12.88071066,12.2,7.489550274,7.942564945,4.7
10,Наманган,-,-,-,-,33.82045929,33.41578036,32.4461766,30.99699743,28.28884652,25.39658945,23.05258341,20.08835759,17.35764236,16.64545686,15.7,15.22403259,14.98346477,14.34394904,14.0,15.19721023,15.25652233,14.1
11,Самарканд,-,-,-,-,24.19212432,23.88529463,23.00961268,21.78694002,19.84667802,16.61127115,14.91149093,13.32665331,12.93665385,11.50127226,10.9,10.22900763,9.680163321,9.067710105,8.6,9.764096351,10.62707228,18.2
12,Сурхандарьинская,-,-,-,-,34.82238967,34.59488273,33.64076725,32.20756473,29.73602484,27.77663866,25.19618346,23.5058698,22.60738508,21.4355708,20.5,19.95079951,19.52545724,19.21279213,18.7,14.53848599,14.68315288,13.3
13,Сырдарья,-,-,-,-,33.09294872,32.61767135,31.74508486,30.69745264,28.64992151,26.12168024,23.55249556,22.13523132,20.29850746,19.75609756,18.3,17.72357724,16.4,16.08448416,15.3,13.56219659,12.26494673,30.5
14,Ташкент,-,-,-,-,21.29261661,20.41408669,19.83930236,18.20573232,16.69728516,14.15156909,12.52763568,11.17920541,10.25799794,9.199573106,8.5,7.91227693,7.367744699,7.026563839,6.5,8.074841899,9.096366676,22.7
15,Фергана,-,-,-,-,15.99934091,15.81520823,15.21213421,14.56063779,13.17345043,10.80314471,10.17503613,9.736138945,9.625041848,8.678435902,8.4,7.78605281,7.4,7.325325664,6.6,13.504015,14.46575977,3.9
16,Хорезм,-,-,-,-,31.49038462,31.04110642,29.92397525,28.36567577,25.80395196,23.26433053,20.56595746,19.11309728,17.21362229,15.91511936,15.1,14.25729443,13.30457863,12.8807947,12.5,13.03052258,13.02513422,19.9
17,Ташкентское ш.,-,-,-,-,6.979778213,6.69047619,6.392026044,6.007769292,4.464492251,3.115965347,2.6,2.30318258,2.134724858,1.836832061,1.5,0.874172185,0.723278864,0.58417419,0.4,1.900844593,2.635407702,8.1
